Date,City,Temp,Air Quality,PM 2.5,PM 10
9/13/2024 0:10:44,San Francisco,15.06°C,Fair,3.6,6.97
9/13/2024 0:10:44,New York,19.21°C,Fair,14.74,22.75
9/13/2024 0:10:45,Dallas,23.82°C,Fair,7.9,11.39
9/13/2024 0:10:45,Boston,17.56°C,Good,7.31,9.62
9/13/2024 0:10:45,Miami,28.74°C,Good,9.95,14.77
9/13/2024 0:10:46,Houston,24.79°C,Fair,21.3,26.48
9/14/2024 0:10:43,Toronto,18.35°C,Moderate,35.67,44.81
9/14/2024 0:10:43,San Francisco,13.58°C,Fair,6.49,11.31
9/14/2024 0:10:44,New York,20.28°C,Fair,16.03,26.16
9/14/2024 0:10:44,Dallas,28.31°C,Fair,11.29,14.81
9/14/2024 0:10:44,Boston,19.28°C,Fair,15.22,21.64
9/14/2024 0:10:45,Miami,26.11°C,Moderate,15.41,20.54
9/14/2024 0:10:45,Houston,28.55°C,Fair,10.53,12.96
9/15/2024 0:10:43,Toronto,19.3°C,Moderate,27.07,32.26
9/15/2024 0:10:43,San Francisco,13.79°C,Fair,2.7,5.27
9/15/2024 0:10:44,New York,21.31°C,Moderate,29.26,39.1
9/15/2024 0:10:45,Dallas,28.68°C,Fair,12.83,14.85
9/15/2024 0:10:46,Boston,16.86°C,Good,8.43,10.87
9/15/2024 0:10:47,Miami,27.08°C,Fair,18.32,21.21
9/15/2024 0:10:47,Houston,28.88°C,Good,6.93,9.58
9/16/2024 0:10:44,Toronto,19.49°C,Moderate,35.16,42.74
9/16/2024 0:10:44,San Francisco,14.14°C,Fair,1.61,4.7
9/16/2024 0:10:45,New York,18.49°C,Moderate,12.67,23.08
9/16/2024 0:10:46,Dallas,26.25°C,Good,1.26,2.21
9/16/2024 0:10:46,Boston,15.02°C,Good,4.74,7.7
9/16/2024 0:10:47,Miami,27.74°C,Good,4.52,7.32
9/16/2024 0:10:48,Houston,27.98°C,Fair,21.4,26.8
9/17/2024 0:10:43,Toronto,19.68°C,Moderate,29.42,44.01
9/17/2024 0:10:44,San Francisco,13.56°C,Fair,3.62,6.29
9/17/2024 0:10:45,New York,19.06°C,Fair,16.5,31.97
9/17/2024 0:10:46,Dallas,26.34°C,Good,0.81,1.55
9/17/2024 0:10:46,Boston,16.76°C,Good,5.57,10.2
9/17/2024 0:10:47,Miami,26.73°C,Good,7.13,10.85
9/17/2024 0:10:47,Houston,28.37°C,Fair,13.67,17.28
9/18/2024 0:10:43,Toronto,19.42°C,Fair,14.35,18.13
9/18/2024 0:10:44,San Francisco,14.44°C,Fair,2.41,5.4
9/18/2024 0:10:44,New York,21.01°C,Fair,16.04,31.8
9/18/2024 0:10:45,Dallas,25.64°C,Good,3.76,4.7
9/18/2024 0:10:46,Boston,18.15°C,Good,6.74,14.71
9/18/2024 0:10:47,Miami,27.13°C,Good,2.77,5.23
9/18/2024 0:10:47,Houston,28.25°C,Fair,11.83,14.72
9/19/2024 0:10:43,Toronto,18.62°C,Fair,16.76,27.22
9/19/2024 0:10:44,San Francisco,15.58°C,Fair,1.03,1.4
9/19/2024 0:10:45,New York,21.56°C,Good,3.76,5.69
9/19/2024 0:10:45,Dallas,28.85°C,Good,8,10.73
9/19/2024 0:10:46,Boston,18.18°C,Good,4.87,9.76
9/19/2024 0:10:46,Miami,26.87°C,Moderate,48.45,53.51
9/19/2024 0:10:47,Houston,27.97°C,Good,6.92,9.95
9/20/2024 0:10:44,Toronto,19.45°C,Moderate,35.14,49.5
9/20/2024 0:10:44,San Francisco,14.18°C,Fair,4.3,10.69
9/20/2024 0:10:44,New York,23.14°C,Fair,5.12,7.83
9/20/2024 0:10:45,Dallas,29.83°C,Good,8.19,11.51
9/20/2024 0:10:45,Boston,19.02°C,Fair,1.03,1.14
9/20/2024 0:10:46,Miami,25.01°C,Moderate,31.5,37.19
9/20/2024 0:10:47,Houston,28.3°C,Good,3.95,6.62
9/21/2024 0:10:44,Toronto,19.5°C,Fair,23.5,27.74
9/21/2024 0:10:44,San Francisco,13.64°C,Fair,5.24,9.93
9/21/2024 0:10:45,New York,20.18°C,Good,5.32,7.99
9/21/2024 0:10:45,Dallas,30.12°C,Good,8.64,11.36
9/21/2024 0:10:46,Boston,15.91°C,Fair,2.47,4.54
9/21/2024 0:10:46,Miami,27.57°C,Fair,13.45,17.87
9/21/2024 0:10:47,Houston,28.16°C,Good,8.71,12.43
9/22/2024 0:10:45,Toronto,18.3°C,Fair,19.19,24.23
9/22/2024 0:10:47,San Francisco,14.01°C,Fair,8.22,21.2
9/22/2024 0:10:49,New York,18.33°C,Moderate,14.53,22.25
9/22/2024 0:10:50,Dallas,29.31°C,Fair,7.25,9.21
9/22/2024 0:10:50,Boston,13.74°C,Fair,1.36,2.56
9/22/2024 0:10:52,Miami,26.74°C,Good,3.28,4.65
9/22/2024 0:10:53,Houston,27.87°C,Fair,12.52,15.59
9/23/2024 0:10:43,Toronto,19.93°C,Fair,9.88,11.76
9/23/2024 0:10:43,San Francisco,13.53°C,Fair,7.95,10.32
9/23/2024 0:10:44,New York,17.83°C,Fair,5.79,9.66
9/23/2024 0:10:44,Dallas,29.63°C,Good,3.95,6.09
9/23/2024 0:10:45,Boston,14.65°C,Good,1.97,3.29
9/23/2024 0:10:45,Miami,26.95°C,Good,3.39,5.38
9/23/2024 0:10:45,Houston,27.54°C,Good,8.58,12.53
9/24/2024 0:10:43,Toronto,17.38°C,Good,6.9,12.27
9/24/2024 0:10:44,San Francisco,19.63°C,Fair,8.83,10.66
9/24/2024 0:10:44,New York,17.1°C,Moderate,11.25,19.91
9/24/2024 0:10:44,Dallas,23.75°C,Good,3.41,4.67
9/24/2024 0:10:45,Boston,13.55°C,Good,1.46,3.54
9/24/2024 0:10:45,Miami,28.32°C,Good,1.96,3.91
9/24/2024 0:10:45,Houston,27.69°C,Good,7.15,9.89
9/25/2024 0:10:44,Toronto,16.88°C,Fair,1.68,2.55
9/25/2024 0:10:45,San Francisco,15.24°C,Fair,15.04,17.86
9/25/2024 0:10:45,New York,17.2°C,Good,3.73,8.97
9/25/2024 0:10:46,Dallas,25.84°C,Good,5.31,7.77
9/25/2024 0:10:46,Boston,15.33°C,Good,2.65,4.48
9/25/2024 0:10:46,Miami,28.03°C,Fair,2.42,4.5
9/25/2024 0:10:47,Houston,27.72°C,Fair,19.1,23.68
9/26/2024 0:10:43,Toronto,17.78°C,Fair,9.17,12.88
9/26/2024 0:10:44,San Francisco,14.63°C,Fair,1.63,2.85
9/26/2024 0:10:45,New York,18.31°C,Good,4,7.3
9/26/2024 0:10:46,Dallas,21.66°C,Good,2.77,3.65
9/26/2024 0:10:46,Boston,15.77°C,Good,2.8,7.76
9/26/2024 0:10:47,Miami,28.54°C,Good,1.98,4.07
9/26/2024 0:10:47,Houston,26.35°C,Good,8.19,9.79
9/27/2024 0:10:43,Toronto,15.87°C,Good,6.07,13.36
9/27/2024 0:10:44,San Francisco,15.54°C,Fair,2.61,4.56
9/27/2024 0:10:45,New York,22.15°C,Good,4.53,6.58
9/27/2024 0:10:46,Dallas,22.86°C,Good,4.94,6.33
9/27/2024 0:10:46,Boston,17.19°C,Good,2.1,2.72
9/27/2024 0:10:47,Miami,28.88°C,Good,3.1,5.61
9/27/2024 0:10:47,Houston,23.44°C,Fair,3.89,4.77
